Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
02/01/2020,08:00,N,HB_HOUSTON,16.32
02/01/2020,08:00,N,HB_HUBAVG,15.76
02/01/2020,08:00,N,HB_NORTH,15.72
02/01/2020,08:00,N,HB_PAN,14.43
02/01/2020,08:00,N,HB_SOUTH,17.08
02/01/2020,08:00,N,HB_WEST,13.90
02/01/2020,08:00,N,LZ_AEN,16.97
02/01/2020,08:00,N,LZ_CPS,19.44
02/01/2020,08:00,N,LZ_HOUSTON,16.93
02/01/2020,08:00,N,LZ_LCRA,17.25
02/01/2020,08:00,N,LZ_NORTH,16.22
02/01/2020,08:00,N,LZ_RAYBN,16.02
02/01/2020,08:00,N,LZ_SOUTH,19.77
02/01/2020,08:00,N,LZ_WEST,35.25
02/01/2020,09:00,N,HB_BUSAVG,20.98
02/01/2020,09:00,N,HB_HOUSTON,21.13
02/01/2020,09:00,N,HB_HUBAVG,20.95
02/01/2020,09:00,N,HB_NORTH,20.88
02/01/2020,09:00,N,HB_PAN,20.52
02/01/2020,09:00,N,HB_SOUTH,21.69
02/01/2020,09:00,N,HB_WEST,20.10
02/01/2020,09:00,N,LZ_AEN,21.52
02/01/2020,09:00,N,LZ_CPS,23.88
02/01/2020,09:00,N,LZ_HOUSTON,21.42
02/01/2020,09:00,N,LZ_LCRA,21.44
02/01/2020,09:00,N,LZ_NORTH,21.12
02/01/2020,09:00,N,LZ_RAYBN,21.02
02/01/2020,09:00,N,LZ_SOUTH,23.25
02/01/2020,09:00,N,LZ_WEST,26.83
02/01/2020,10:00,N,HB_BUSAVG,23.53
02/01/2020,10:00,N,HB_HOUSTON,23.53
02/01/2020,10:00,N,HB_HUBAVG,23.53
02/01/2020,10:00,N,HB_NORTH,23.46
02/01/2020,10:00,N,HB_PAN,23.42
02/01/2020,10:00,N,HB_SOUTH,23.93
02/01/2020,10:00,N,HB_WEST,23.20
02/01/2020,10:00,N,LZ_AEN,23.88
02/01/2020,10:00,N,LZ_CPS,24.67
02/01/2020,10:00,N,LZ_HOUSTON,23.81
02/01/2020,10:00,N,LZ_LCRA,23.86
02/01/2020,10:00,N,LZ_NORTH,23.58
02/01/2020,10:00,N,LZ_RAYBN,23.51
02/01/2020,10:00,N,LZ_SOUTH,25.31
02/01/2020,10:00,N,LZ_WEST,25.65
02/01/2020,11:00,N,HB_BUSAVG,22.14
02/01/2020,11:00,N,HB_HOUSTON,22.24
02/01/2020,11:00,N,HB_HUBAVG,22.15
02/01/2020,11:00,N,HB_NORTH,22.11
02/01/2020,11:00,N,HB_PAN,22.08
02/01/2020,11:00,N,HB_SOUTH,22.22
02/01/2020,11:00,N,HB_WEST,22.03
02/01/2020,11:00,N,LZ_AEN,22.22
02/01/2020,11:00,N,LZ_CPS,22.38
02/01/2020,11:00,N,LZ_HOUSTON,22.55
02/01/2020,11:00,N,LZ_LCRA,22.22
02/01/2020,11:00,N,LZ_NORTH,22.13
02/01/2020,11:00,N,LZ_RAYBN,22.13
02/01/2020,11:00,N,LZ_SOUTH,23.24
02/01/2020,11:00,N,LZ_WEST,23.42
02/01/2020,12:00,N,HB_BUSAVG,18.51
02/01/2020,12:00,N,HB_HOUSTON,18.40
02/01/2020,12:00,N,HB_HUBAVG,18.51
02/01/2020,12:00,N,HB_NORTH,18.48
02/01/2020,12:00,N,HB_PAN,18.46
02/01/2020,12:00,N,HB_SOUTH,18.71
02/01/2020,12:00,N,HB_WEST,18.45
02/01/2020,12:00,N,LZ_AEN,18.62
02/01/2020,12:00,N,LZ_CPS,18.79
02/01/2020,12:00,N,LZ_HOUSTON,18.55
02/01/2020,12:00,N,LZ_LCRA,18.66
02/01/2020,12:00,N,LZ_NORTH,18.50
02/01/2020,12:00,N,LZ_RAYBN,18.49
02/01/2020,12:00,N,LZ_SOUTH,19.84
02/01/2020,12:00,N,LZ_WEST,19.57
02/01/2020,13:00,N,HB_BUSAVG,15.83
02/01/2020,13:00,N,HB_HOUSTON,15.80
02/01/2020,13:00,N,HB_HUBAVG,15.81
02/01/2020,13:00,N,HB_NORTH,15.81
02/01/2020,13:00,N,HB_PAN,15.82
02/01/2020,13:00,N,HB_SOUTH,16.03
02/01/2020,13:00,N,HB_WEST,15.60
02/01/2020,13:00,N,LZ_AEN,15.93
02/01/2020,13:00,N,LZ_CPS,16.10
02/01/2020,13:00,N,LZ_HOUSTON,16
02/01/2020,13:00,N,LZ_LCRA,15.98
02/01/2020,13:00,N,LZ_NORTH,15.82
02/01/2020,13:00,N,LZ_RAYBN,15.81
02/01/2020,13:00,N,LZ_SOUTH,17.14
02/01/2020,13:00,N,LZ_WEST,16.51
02/01/2020,14:00,N,HB_BUSAVG,14.72
02/01/2020,14:00,N,HB_HOUSTON,14.76
02/01/2020,14:00,N,HB_HUBAVG,14.71
02/01/2020,14:00,N,HB_NORTH,14.69
02/01/2020,14:00,N,HB_PAN,14.70
02/01/2020,14:00,N,HB_SOUTH,14.87
02/01/2020,14:00,N,HB_WEST,14.52
02/01/2020,14:00,N,LZ_AEN,14.79
02/01/2020,14:00,N,LZ_CPS,14.94
02/01/2020,14:00,N,LZ_HOUSTON,15.02
02/01/2020,14:00,N,LZ_LCRA,14.83
02/01/2020,14:00,N,LZ_NORTH,14.69
02/01/2020,14:00,N,LZ_RAYBN,14.69
02/01/2020,14:00,N,LZ_SOUTH,15.80
02/01/2020,14:00,N,LZ_WEST,15.31
02/01/2020,15:00,N,HB_BUSAVG,14.83
02/01/2020,15:00,N,HB_HOUSTON,14.85
02/01/2020,15:00,N,HB_HUBAVG,14.84
02/01/2020,15:00,N,HB_NORTH,14.79
02/01/2020,15:00,N,HB_PAN,14.79
02/01/2020,15:00,N,HB_SOUTH,15
02/01/2020,15:00,N,HB_WEST,14.73
02/01/2020,15:00,N,LZ_AEN,14.90
02/01/2020,15:00,N,LZ_CPS,15.07
02/01/2020,15:00,N,LZ_HOUSTON,15.10
02/01/2020,15:00,N,LZ_LCRA,14.93
02/01/2020,15:00,N,LZ_NORTH,14.79
02/01/2020,15:00,N,LZ_RAYBN,14.79
02/01/2020,15:00,N,LZ_SOUTH,16.16
02/01/2020,15:00,N,LZ_WEST,16.26
02/01/2020,16:00,N,HB_BUSAVG,13.67
02/01/2020,16:00,N,HB_HOUSTON,13.68
02/01/2020,16:00,N,HB_HUBAVG,13.68
02/01/2020,16:00,N,HB_NORTH,13.63
02/01/2020,16:00,N,HB_PAN,13.62
02/01/2020,16:00,N,HB_SOUTH,13.84
02/01/2020,16:00,N,HB_WEST,13.56
02/01/2020,16:00,N,LZ_AEN,13.72
02/01/2020,16:00,N,LZ_CPS,13.91
02/01/2020,16:00,N,LZ_HOUSTON,13.93
02/01/2020,16:00,N,LZ_LCRA,13.75
02/01/2020,16:00,N,LZ_NORTH,13.64
02/01/2020,16:00,N,LZ_RAYBN,13.63
02/01/2020,16:00,N,LZ_SOUTH,15.15
02/01/2020,16:00,N,LZ_WEST,15.28
02/01/2020,17:00,N,HB_BUSAVG,14.62
02/01/2020,17:00,N,HB_HOUSTON,14.54
02/01/2020,17:00,N,HB_HUBAVG,14.60
02/01/2020,17:00,N,HB_NORTH,14.59
02/01/2020,17:00,N,HB_PAN,14.57
02/01/2020,17:00,N,HB_SOUTH,14.90
02/01/2020,17:00,N,HB_WEST,14.36
02/01/2020,17:00,N,LZ_AEN,14.72
02/01/2020,17:00,N,LZ_CPS,14.96
02/01/2020,17:00,N,LZ_HOUSTON,14.73
02/01/2020,17:00,N,LZ_LCRA,14.75
02/01/2020,17:00,N,LZ_NORTH,14.62
02/01/2020,17:00,N,LZ_RAYBN,14.61
02/01/2020,17:00,N,LZ_SOUTH,15.92
02/01/2020,17:00,N,LZ_WEST,16.47
02/01/2020,18:00,N,HB_BUSAVG,17.02
02/01/2020,18:00,N,HB_HOUSTON,16.68
02/01/2020,18:00,N,HB_HUBAVG,16.99
02/01/2020,18:00,N,HB_NORTH,16.93
02/01/2020,18:00,N,HB_PAN,16.85
02/01/2020,18:00,N,HB_SOUTH,17.85
02/01/2020,18:00,N,HB_WEST,16.49
02/01/2020,18:00,N,LZ_AEN,17.47
02/01/2020,18:00,N,LZ_CPS,17.95
02/01/2020,18:00,N,LZ_HOUSTON,16.65
02/01/2020,18:00,N,LZ_LCRA,17.54
02/01/2020,18:00,N,LZ_NORTH,16.99
02/01/2020,18:00,N,LZ_RAYBN,16.96
02/01/2020,18:00,N,LZ_SOUTH,18.87
02/01/2020,18:00,N,LZ_WEST,31.86
02/01/2020,19:00,N,HB_BUSAVG,18.29
02/01/2020,19:00,N,HB_HOUSTON,18.35
02/01/2020,19:00,N,HB_HUBAVG,18.15
02/01/2020,19:00,N,HB_NORTH,18.13
02/01/2020,19:00,N,HB_PAN,17.81
02/01/2020,19:00,N,HB_SOUTH,19.28
02/01/2020,19:00,N,HB_WEST,16.83
02/01/2020,19:00,N,LZ_AEN,19.03
02/01/2020,19:00,N,LZ_CPS,19.48
02/01/2020,19:00,N,LZ_HOUSTON,18.35
02/01/2020,19:00,N,LZ_LCRA,19.17
02/01/2020,19:00,N,LZ_NORTH,18.22
02/01/2020,19:00,N,LZ_RAYBN,18.17
02/01/2020,19:00,N,LZ_SOUTH,20.11
02/01/2020,19:00,N,LZ_WEST,61.67
02/01/2020,20:00,N,HB_BUSAVG,15.62
02/01/2020,20:00,N,HB_HOUSTON,15.63
02/01/2020,20:00,N,HB_HUBAVG,15.51
02/01/2020,20:00,N,HB_NORTH,15.49
02/01/2020,20:00,N,HB_PAN,15.13
02/01/2020,20:00,N,HB_SOUTH,16.38
02/01/2020,20:00,N,HB_WEST,14.55
02/01/2020,20:00,N,LZ_AEN,16.19
02/01/2020,20:00,N,LZ_CPS,16.53
02/01/2020,20:00,N,LZ_HOUSTON,15.62
02/01/2020,20:00,N,LZ_LCRA,16.28
02/01/2020,20:00,N,LZ_NORTH,15.56
02/01/2020,20:00,N,LZ_RAYBN,15.53
02/01/2020,20:00,N,LZ_SOUTH,17.03
02/01/2020,20:00,N,LZ_WEST,47.79
02/01/2020,21:00,N,HB_BUSAVG,14.69
02/01/2020,21:00,N,HB_HOUSTON,14.51
02/01/2020,21:00,N,HB_HUBAVG,14.60
